Outcome,,Proportion of extension services that go to crops primarily produced by women,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Outcome,,Numbers of female/male extension workers,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Output,HL.7.1-1,Couple Years Protection in USG supported programs,USAID (U.S. Agency for International Development),,Health,,"The estimated protection provided by family planning (FP) services during a one-year period, based upon the volume of all contraceptives sold or distributed free of charge to clients during that period in USG supported programs  The CYP is calculated by multiplying the quantity of each method distributed to clients by a conversion factor, to yield an estimate of the duration of contraceptive protection provided per unit of that method (Wishik and Chen, 1973; Stover, Bertrand, and Shelton, 2000). The CYPs for each method are then summed over all methods to obtain a total CYP figure. Please see conversion factors at: https://www.usaid.gov/what-we-do/global-health/family-planning/couple-years-protection-cyp","This indicator measures the amount of contraceptive coverage provided to a given population in a given year, which is related to contraceptive prevalence and reduction in unintended pregnancies. This indicator is an annually-available proxy for Modern Contraceptive Prevalence Rate (MCPR)","Number, specific to a particular year.",,Urban/Rural,,,,,Data collected from USG supported projects that provide  Family Planning (FP) services in countries receiving FP/RH funds,,,Annual ,,,,,Indicator is used to measure actual distribution of contraceptive methods at Service Delivery Points (SDPs) or through Community Health Workers (CHWs).,,,,,,,,HL.7.1 Health: Family Planning and Reproductive Health,,,
Output,HL.7.1-2,Percent of USG-assisted service delivery sites providing family planning counseling and/or services,USAID (U.S. Agency for International Development),,Health,,"USG-assisted:  Funded with congressionally-earmarked FP funds for any kind of assistance. Service Delivery Sites:  Clinics, hospitals, facilities (government, private or NGO/FBO), pharmacies, and/or social marketing sales points.  Does not include community health workers (CHWs). FP counseling:  FP information and/or FP counseling provided in the context of a visit with a FP service provider. FP Services:  Provision of FP methods and or FP referrals","Increased FP use is related to its physical availability through numerous sites offering FP counseling and/or services, especially if the counseling and/or services are offered in a quality, client-friendly, convenient and affordable manner.  An increased contraceptive prevalence rate (CPR) will reduce the unmet need for FP, number of unintended pregnancies, number of abortions, and neonatal, infant, child and maternal mortality and morbidity.  Initially, the percent of USG-assisted FP SDPs should approach and reach 100%.   However, overtime these FP SDPs should receive less USG assistance, ultimately graduating from it, as the host government, local NGOs/FBOs, private for-profit facilities, and social marketing sales points assume increasing and complete ownership and responsibility.",Percent,,"Numerator/Denominator Geographic Location (Urban/Rural) Type of USG supported SDP (Clinics, hospitals, facilities (government, private or NGO/FBO), pharmacies, social marketing sales points)",,,,,Country level denominators are initially set when country level programs/projects are designed and typically held constant over the life of the project; although refinement as implementation progresses is possible.  Country level numerators are reported annually by implementing partners in project/program reporting documents to the USG COR/AOR.   Both denominators and numerators should be reported annually for aggregation and global computation.,,,Annual ,,,,,Indicator used to measure the actual family planning counseling provided in USG assisted service delivery points to identify gaps in counseling and information.,,,,,,,,HL.7.1 Health: Family Planning and Reproductive Health,,,
Output,Average,Average stockout rate of contraceptive commodities at Family Planning service delivery points,USAID (U.S. Agency for International Development),,Health,,"This indicator aligns with the Reproductive Health Supplies Coalition (rhsupplies.org) universal stockout indicator.  The RHSC universal indicator is defined as the percentage of facilities stocked out, by family planning method offered, on the day of the assessment (reporting day or day of visit).  This indicator averages the RHSC universal stockout indicator across all reporting periods (where multiple reporting periods exist).    Example calculation, assuming the following dataset:  Male Condoms Reporting Period 1: 20% of SDPs stocked out Reporting Period 2: 10% of SDPs stocked outTo calculate this stockout indicator, make sure to take the average over all reporting periods for the year where multiple periods exist.             0.2 + 0.1 ---------------------------- = 0.15 =15% for Male Condoms                 2",The availability of contraceptives is a critical determinant of the success and long-term impact of any family planning program. This indicator measures the ability of a supply chain to ensure that products are consistently available to clients at the Service Delivery Point (SDP) level.,Percent,,"Numerator, Denominator, Male Condoms, Female Condoms, Fertility-Awareness Based Method, Implantable Hormonal Contraceptive, Injectable Hormonal Contraceptive, Intrauterine Device, Oral Hormonal Contraceptive",,,,,"- The preferred source of data is the host country LMIS, where the LMIS provides regular and reliable information for the specified indicator.  - Where the national LMIS cannot provide reliable information for the specified indicator, and a parallel LMIS run by a USAID project exists for other purposes, this LMIS can provide the data.  - Where reliable LMIS data is not available, data from regular Surveys (such as facility Surveys, drug use Surveys, End Use Verification Surveys) may be used. Whenever possible, Surveys that serve as data sources should provide statistically representative samples.  - Where Survey data are used for monitoring, USAID/Washington and the mission will annually reassess the need for Surveys as the LMIS is strengthened. - Where no source of reliable data for the required indicators is available, USAID/W and the USAID mission will come to agreement on steps to be taken to improve country-level logistics data and LMIS performance, and on other means to temporarily collect this data. - Missions are highly encouraged to reach out to PRH for guidance on how to compute this indicator in their specific circumstances.  ",,,Annual ,,,,,"This indicator is used by in-country program managers and stakeholders as the ultimate measure of how well the contraceptive supply chain is working.  The indicator is used to help focus program investments for supply chain strengthening.  Where USG FP assistance is not directed at contraceptive donations or supply chain strengthening, this indicator can serve to flag where lack of supplies to clients may constrain the success of other program investments and where assistance for supply availability may be warranted. This indicator is used by USAID/W staff to support in-country managers in allocating resources and program support. This measure, in the aggregate, can also inform stakeholders (e.g., Congress) on how well programs that are supported by USAID are progressing towards reliable availability of family planning methods for clients.",,,,,,,,Investing in People: Health: Family Planning and Reproductive Health: HL. 7.6.,,"Points of clarification: 1. Being stocked out indicates having zero usable (non-expired, non-damaged) stock of the offered contraceptive method at the location being assessed. Ideally, the indicator will assess the inventory present in the entire facility, not just the facility store or pharmacy. However, we recognize that, in many cases, stockout information may only represent the facility store or pharmacy, because many stock records and reports only include data from this location; instead of also including what is in clinic rooms or other facility locations. 2. Offering the method refers to providing or managing it. A facility is considered to offer a method if it has stocked it or has issued/dispensed the method at some point during the last 12 months.  This indicatorâs definition does not consider the availability of trained providers.  Only facilities that offer a particular method are included in the stockout rate calculation for that method. 3. When collecting data by method, it will be important to determine whether facilities that offer more than one product brand or type within a product category were stocked out of all of them at the same time.  Contraceptive product categories include: Male Condoms, Female Condoms, Fertility-Awareness Based Method, Implantable Hormonal Contraceptive, Injectable Hormonal Contraceptive, Copper-bearing Intrauterine Devices, Hormone-releasing Intrauterine Devices, Oral Hormonal Contraceptive. For this indicator, a stockout indicates that there is no availble product from a given product category. For example, if a facility offers two injectable brandsâDepo-Provera and Noristeratâand, at the time of assessment, the facility was stocked out of Noristerat, but had stock of Depo-Provera; it would not be considered to be stocked out of injectables because it had Depo-Provera in stock.  Note that in country supply chains, we recommend collecting data by product, since different products need to be managed individually within the supply chain and because they are not necessarily interchangeable, e.g., a two-month vs. three-month injectable or a 3- vs. 5- year implant.  Furthermore, with product data, you can often calculate both product-specific stockout rates and you can aggregate and calculate method-specific stockout rates. You cannot do the reverse if you only collect the data by method. 4. The preferred data source for this indicator is stock ending balance information on LMIS reports; in the absense of SDP-level LMIS data, the data should be collected through physical inventory checks during facility visits, such as from health facility assessment results or supervision records.  For example, results from secondary sources which are collected annually, such as the UNFPA Facility Assessment for Reproductive Health Commodities and Services, the PMA2020 SDP survey, End Use Verification data, or the WHO SARA health facility survey can be used. 5. Multiple reporting periods would generally occur when a countryâs logistics management information system (LMIS) is used to compute the indicator.  Generally in such cases, the percentage of facilities stocked out would be averaged across monthly or quarterly LMIS data and across methods to compute this stockout indicator. 6. Family planning service delivery points (SDPs) should include all public sector SDPs offering family planning commodities.  Family Planning SDPs should also include all NGO, social marketing, and private sector SDPs that are USG-supported.  Narrative:  1) Please provide an analysis of performance achieved, including the following in the narrative: Number of SDPs used to compute indicator; Estimated total number of SDPs offering contraceptives in the country; Number of reporting periods used to compute indicator; Clarifying comment on source of  data (LMIS, survey, etc.) and types of SDPs (public, NGO, etc.) used to calculate the indicator; Year of reporting should be US fiscal year.  If not please define reporting year; Any other relevant comments 2) How indicator relates to MO 3) Explanation of future performance.",
Output,HL.7.2-1,Percent of audience who recall hearing or seeing a specific USG-supported Family Planning/Reproductive Health (FP/RH) message,USAID (U.S. Agency for International Development),,Health,,"âAudienceâ is defined as the target population for the particular FP/RH message (e.g. women of reproductive age).  âRecallâ may include spontaneous mention and/or aided recall.  âSpecific USG-supported FP/RH messageâ refers to a USG-supported communication with some identifiable aspect (e.g., logo, character, etc) that the respondent could not name unless s/he had been exposed to the communication.   This indicator is calculated as a percentage and is specific to the year:   (Number of audience members who recall a specific message / Total number of audience members) x 100. For more information on this type of indicator please see: http://www.cpc.unc.edu/measure/prh/rh_indicators/crosscutting/bcc/percent-of-audience-who-recall-hearing-or-seeing-a","âReachingâ the audience is an important first step to increasing levels of knowledge of the FP/RH products, practices, or services in question.",Percent Specific to the year,,"Age group (10-19, 20-29, 30+), Sex (Male, Female), urban/rural, education (no education, Some primary, Primary complete/some secondary, Secondary complete/higher)",,,,,"National, regional, or local sample Surveys with members (preferably a representative sample) of the intended audience.  Annual Reporting by USG supported FP communication, and/or Social Behaviour Change and Communication (SBCC) projects.",,,Annual ,,,,,"This indicator is important in establishing exposure to FP/RH campaign(s). It could also be used as a building block for an indicator of the âdose-response effectâ of increasing the number of exposures to the message[s]. âReachingâ the audience is an important first step to increasing levels of knowledge of Family Planning products, practices, or services in question. Reaching a large audience is one of the strengths of mass media communication, and recall of specific messages measures the reach of a given communication campaign or message. This information helps in assessing current investments in communication and SBCC interventions.",,,,,,,,HL.7.2 Health: Family Planning and Reproductive Health,,,
Output,HL.7.2-2,"Number of USG-assisted community health workers (CHWs) providing family planning (FP) information, referrals, and/or services during the year",USAID (U.S. Agency for International Development),,Health,,USG-assisted:  Funded with congressionally-earmarked FP funds for any kind of assistance. Community Health Workers (CHW):   Any type of CHW as defined by country programs. FP Information:  FP information and/or FP counseling provided by a CHW.   FP referrals:  FP referrals to public or private sector services provided by a CHW  FP Services: FP contraceptive services  provided by a CHW Year: US Fiscal Year,"Increased FP use is related to its physical availability through numerous service delivery sites, including door-to-door offering of FP information, services and/or referrals to non door-to-door services, especially if the information and/or services are offered in a quality, client-friendly, convenient and affordable manner.  Increased family planning use reduces the unmet need for FP, number of unintended pregnancies, number of abortions, and neonatal, infant, child and maternal mortality and morbidity contributing to Performance Goal 2.5.2 (Agency Priority Goal):  End Preventable Maternal and Child Deaths .  Over time, these CHWs may receive less USG assistance, ultimately graduating from it, as the host government and local NGOs/FBOs assume increasing and complete ownership and responsibility.  ",Number (of workers),,Sex,,,,,Country target numbers are initially set by OUs when country programs/projects are designed and implemented.  Targets are typically held constant over the life of the project; although refinement as implementation progresses is possible.  Country performance data are reported annually by implementing partners in project/program annual performance reporting documents submitted to USG COR/AORs.,,,Annual ,,,,,"Use of CHWs in delivering FP information, services and/or referrals is well documented as a best practice.  OUs have different projects and programs that train and use CHWS to increase FP use, reduce unitntended pregnancies, reduce abortions and unmet need. The indicator is used in Office of Population and Reproductive Health (PRH) to measure the effectiveness of engaging CHWs in increasing FP use, thus reducing maternal and child deaths.  This information is needed in designing new project interventions.",,,,,,,,HL.7.2 Health: Family Planning and Reproductive Health .,,,
Output,HL.8.1-1,Number of people gaining access to basic drinking water services as a result of USG assistance,USAID (U.S. Agency for International Development),,Health,,"Basic drinking water services, according to the Joint Monitoring Programme (JMP), are defined as improved sources or delivery points that by nature of their construction or through active intervention are protected from outside contamination, in particular from outside contamination with fecal matter, and where collection time is no more than 30 minutes for a roundtrip including queuing.  Drinking water sources meeting this criteria include:     - piped drinking water supply on premises;    - public tap/standpost; tube well/borehole;     - protected dug well; protected spring;     - rainwater; and/or     - bottled water (when another basic service is used for hand washing, cooking or other basic personal hygiene purposes). All other services are considered to be âunimprovedâ, including: unprotected dug well, unprotected spring, cart with small tank/drum, tanker truck, surface water (river, dam, lake, pond, stream, canal, irrigation channel), and bottled water (unless basic services  are being used for hand washing, cooking and other basic personal hygiene purposes).  The following criteria must be met for persons counted as gaining access to basic drinking water services as a result of USG assistance: 1. The total collection time must be 30 minutes or less for a round trip (including wait time). Given this definition, the number of people considered to have âgained accessâ to a basic service will be limited by the physical distance to the service from beneficiariesâ dwellings, the amount of time typically spent queuing at the service, and the production capacity of the service.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               2. The service must be able to consistently (i.e. year-round) produce 20 liters per day for each person counted as âgaining access.â This amount is considered the daily minimum required to effectively meet a personâs drinking, sanitation, and hygiene needs. 3. The service is either newly established or was rehabilitated from a non-functional state within the reporting fiscal year as a result of USG assistance.  4. Persons counting toward the indicator must not have previously had similar âaccessâ to basic drinking water services, prior to the establishment or rehabilitation of the USG-supported basic service. Note: Although USAID expects that all drinking water services supported by USG assistance be tested for fecal coliform and arsenic during the program cycle, compliance with water quality standards is not required for attribution to this indicator. For guidance on water testing requirements during the program cycle, contact USAID/E3/Water Office.Limitations:  Providing âaccessâ does not necessarily guarantee beneficiary âuseâ of a basic drinking water service and thus potential health benefits are not certain to be realized from simply providing âaccess.â This indicator does not capture the full dimensions of a water serviceâs reliability or affordability--two other important factors that influence the likelihood that those defined as having âaccessâ will actually use the service. For more information on these factors please refer to indicator HL.8.1-3.","Use of a âbasicâ drinking water service, as defined, is strongly linked to decreases in the incidence of waterborne disease especially among children under age five. Diarrhea remains the second leading cause of child deaths worldwide. While not guaranteeing âuseâ of the drinking water service, this indicator measures progress in making basic drinking water available in a manner that typically leads to use of the service.",Number,,"Sex, Residence (Rural, Urban), Wealth Quintile",,,,,"Upon completion of construction or rehabilitation of a basic water service, data must be collected by USAID staff, implementing partners, or a third party evaluator. USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and new services provided in order to attribute results to this indicator. Acceptable method(s) by which data for this indicator should be collected are:  - Observations of water services and direct count of beneficiaries or households with estimates of the number of people living in those households.  This must include an assessment of the ""time to collect,"" where only people living within that radius of the service currently not using a basic drinking water supply service according to the baseline is the initial estimate of those âgaining accessâ to the service.  This number might be further reduced, however, depending upon the measured production volume of the service in comparison to the 20 liters/capita/day minimum standard.  - Household Surveys of a representative and statistically significant sample of those who gained access to verify that the water services meets the standards in the definition for a basic water service.  This data source requires that a baseline must be established among potential beneficiaries before the start of activity implementation to measure current âtime to collectâ and type of existing âmain drinking water servicesâ through an initial household Survey, using a representative sample of households, conducted by the implementing partner or a third party.  This indicator can be difficult and time consuming to measure accurately and requires robust data quality assurance on the part of USAID.",,,Annual ,,,,,"Useful for program management, funding allocations and tracking, and reporting towards USAIDâs Water and Development Strategy objectives.",,,,,,,,HL.8.1,,,
Output,HL.8.1-2,Number of people gaining access to safely managed drinking water services as a result of USG assistance ,USAID (U.S. Agency for International Development),,Health,,"A safely managed drinking service is defined as one that meets the definition of a basic drinking water service (see indicator HL.8.1-1), and is also:    - Located on premises: water is provided directly to the household or on premises;    - Available when needed: consistently produces 20 liters per day for each person counted as âgaining access.â  This amount is considered the daily minimum required to effectively meet a personâs drinking, sanitation, and hygiene needs;    - Compliant with faecal (and priority chemical) standards: meets a fecal coliform standard of 0 CFU/100 mL, arsenic standard of 10 parts per billion, and (at a minimum) host country standards for other chemicals that have been identified to pose a site-specific risk to human health.  Persons are counted as âgaining accessâ to a safely managed drinking water service if the service is either newly established, rehabilitated from a non-functional state, or upgraded from a basic water service within the reporting fiscal year as a result of USG assistance, and these persons did not previously have similar âaccessâ to a safely managed drinking water service prior to the establishment or rehabilitation of the USG-supported safely managed service. Limitations: Providing âaccessâ does not necessarily guarantee beneficiary âuseâ of an safely managed drinking water service and thus potential health benefits are not certain to be realized from simply providing âaccess.â Although, the chosen definition of âaccessâ does attempt to define standard ease of use/accessibility and minimum volume of water to meet potential user needs, this definition does not capture the water serviceâs affordability. For more information on this factor please refer to indicator HL.8.1-3.","Use of a âsafely managedâ drinking water service, as defined, is strongly linked to decreases in the incidence of waterborne disease especially among children under age five.  Diarrhea remains the second leading cause of child deaths worldwide.  While not guaranteeing âuseâ of the drinking water service, this indicator measures progress in making high quality drinking water available/ âaccessibleâ in a manner that typically leads to use of the safely managed service.",Number,,"Sex, Residence (Rural, Urban), Wealth Quintile",,,,,"Upon completion of construction, rehabilitation, or upgrading of water services that meets the standard for a safely managed service, data must be collected by USAID staff, implementing partners, or a third party evaluator. USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and new services provided in order to attribute results to this indicator. Acceptable method(s) by which data for this indicator should be collected are:     - Observations of water services and direct count of beneficiaries or households with estimates of the number of people living in those households;    - Water quality tests of any USG-constructed water services;    - Household Surveys of a representative and statistically significant sample of those who gained access to verify that the water services meets the standards in the definition for âsafely managedâ;    - Third-party data provided by a water utility or other local entity responsible for provision of water demonstrating new connections. The implementing partner  assisting the third-party must demonstrate the linkage between USG assistance and new water supplies.;    - Government records for water services managed directly by the government demonstrating new connections and water quality. The contractor or grantee must demonstrate the linkage between USG assistance and new water supplies. Limitations: This indicator can be difficult and time consuming to measure accurately and requires robust data quality assurance on the part of USAID.  If a sample Survey is used to estimate the number of those âgaining accessâ, then a baseline must be established before the start of activity implementation through  an initial household Survey conducted by the USAID partners implementing activities or a third party evaluator using a representative sample of households in the zone of influence. Any use of sample Surveys or third-party data (e.g. from utilities or government entities) must also account for baseline service levels and demonstrate the link between USG-assistance and new access to safely-managed water service.",,,Annual ,,,,,"Useful for program management, funding allocations and tracking, and reporting towards USAIDâs Water and Development Strategy objectives.",,,,,,,,HL.8.1,,,
Output,HL.8.1-3,Number of people receiving improved service quality from an existing basic or safely managed drinking water service as a result of USG assistance,USAID (U.S. Agency for International Development),,Health,,"A person is counted for this indicator when their current primary drinking water service qualifies as a âbasic ,â or âsafely managedâ (see indicators HL.8.1-1 and HL.8.1-2)  but, the quality of âserviceâ they receive  is further âimprovedâ as a result of USG assistance in terms of its ease of accessibility, reliability, and/or affordability. Specifically, âimproved service qualityâ is defined as being achieved if:     - The accessibility measure, time taken to collect water from a basic or safely managed  service, is further reduced to less than the minium requirements for a basic water service (see indicator HL.8.1-1) or safely managed water service (see indicator HL.8.1-2); and/or    - Reliability of supply improves such that the personâs main service  is available regularly or more frequently, i.e. there is no regular rationing of supply or regular seasonal failure of their improved service; and/or,    - Affordability of their basic or safely managed drinking water services improves such that the average price they pay for water is no higher than two times the average water tariff for piped water into the dwelling in their country (where applicable). ","Poor quality service (i.e., difficult to access, unreliable, or expensive) from basic or safely managed drinking water services discourage people from consuming the minimum amount of water required for drinking, sanitation and hygiene and thus contributes to elevated waterborne disease.  Unreliable supplies can also force individuals to switch to unsafe services during times of shortage. Finally, being forced to rely on expensive drinking water services creates adverse economic burdens on many of the poor; this diversion of household resources away from other important expenditures on food and other household staples also has implications for health.",Number,,"Sex, Residence (Rural, Urban), Wealth Quintile",,,,,"Upon completion of construction, rehabilitation, or upgrading of water services that meets the standard for a safely managed service, data must be collected by USAID staff, implementing partners , or a third party evaluator. USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and new services provided in order to attribute results to this indicator. Acceptable method(s) by which data for this indicator should be collected are:     - Program records and observations of water supply systems constructed/renovated.     - Household Surveys of a representative and statistically significant sample of those who received improved drinking water service quality     - Intercept Survey  at the point of water distribution. An intercept Survey is a short structured interview carried out by an enumerator at a desired location, which, in this case, would be the water distribution point. These data sources require that a baseline must be established among potential beneficiaries before the start of activity implementation to measure current âtime to collectâ and type of existing âmain drinking water servicesâ through an initial household Survey, using a representative sample of households, conducted by the implementing partner or a third party.  Service quality improvement information will be defined as:    - Accessibility:  the total time to collect water from the service    - Reliability:  the number of days within each quarter that the service was operational     - Affordability: price per volume of water sold.  This indicator can be difficult and time consuming to measure accurately and requires robust data quality assurance on the part of USAID. ",,,Annual ,,,,,Useful for program management; funding allocations;  and reporting towards USAIDâs Water and Development Strategy objectives.,,,,,,,,HL.8.1,,,
Output,HL.8.1-4,Number of institutional settings gaining access to basic drinking water services as a result of USG assistance,USAID (U.S. Agency for International Development),,Health,,"Institutional settings are defined as schools and health facilities.  Schools in the context of this indicator are day schools for children 6 to 18 years of age who return home after school.  Schools may be public or private.  Health facilities may provide different levels of service, but it is anticipated that water services will be installed in health facilities at the lower echelons of the service hierarchy.  Health facilities may be public or private. An institution is considered to have gained access to a basic drinking water service if:    - The service is either newly established or rehabilitated from a non-functional state within the reporting fiscal year as a result of USG assistance, and this institution did not previously have similar âaccess.â    - The service is on the premises of the institution.      - The service meets the definition of a basic drinking water service as defined in indicator HL.8.1-1. Limitations: The definition of this indicator does not consider reliability, seasonality or water quality. It only measures the most basic level of service at an institution.","Per WHO guidelines, âSchools with poor water, sanitation and hygiene conditions, and intense levels of person-to-person contact, are high-risk environments for children and staff, and exacerbate children's particular susceptibility to environmental health hazards.â  Health facilities, like any other public space, must have water service to reduce the possibility of spreading disease.",Number,,Institution Type (School/Health Facility),,,,,"Direct observations of all institutional setting sites targeted by USG assistance conducted on an annual basis by the USAID implementing partners or a third party evaluator. USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and new services provided in order to attribute results to this indicator.",,,Annual ,,,,,"Useful for program management, funding allocations and tracking, and reporting towards the Water and Development Strategy.",,,,,,,,HL.8.1,,,
Output,HL.8.2-1,Number of communities verified as open defecation free (ODF) as a result of USG assistance,USAID (U.S. Agency for International Development),,Health,,"Open defecation free status in a community requires that everyone in the community has a designated location for sanitation (regardless of whether it meets the definition of a ""basic sanitation facility"", is a shared facility or otherwise unimproved) and that there is no evidence of open defecation in the community. However, where higher national standards exist, ODF status should be defined in accordance with national regulations and/or an established national  system.  If a national policy does not exist, implementing partners shall agree upon a definition with USAID during development of the project Monitoring and Evaluation Plan (MEP).  Open defecation free status must be verified through an established certification process, reviewed by a third party, or a review by the implementing partner.","Poor access to adequate sanitation will result in the practice of open defecation. The harmful impacts that result from open defecation include the spread of diarrheal disease, loss of privacy and human dignity, and environmental pollution. Even if a few households continue to practice open defecation, the overall risk of bacteriological contamination and incidence of disease may continue to be high. For sanitation coverage purposes, the WASH sector divides households into five service level categories: open defecation (no service), unimproved sanitation, shared sanitation, basic sanitation (improved facility not shared), and safely managed. These categories are used to define a sanitation ladder. The WASH sector seeks to have households move up the sanitation ladder and eventually arrive at safely managed  sanitation in order to meet sanitation-related Sustainable Development Goals (SDGs). An increase in the percentage of households that abandon open defecation is an indication that there is movement toward reaching the sanitation-related SDGs in the expected direction.",Number,,,,,,,"Upon declaration of ODF status for a community, the status may be certified by an official entity in accordance with national systems.  Where use of a national certification system is not possible, the implementing partner may conduct verification through collection of data or via a third party review. Methods for verifying ODF status may include:     - transect walks of open defecation sites at dawn and dusk,    - determining whether open/hanging latrines are being used through observations     - observing existing community sanctions for infringements to ODF rules      - household Surveys to assess latrine ownership/access    - community mapping exercises To facilitate inspection and safeguard against fraud when rewards to communities are used as incentives, it is suggested that ODF verification involve a committee made up of government officials, NGO staff, other civil society representatives, community residents, and/or residents from neighboring towns that have achieved ODF status. Kamal Kar and Robert Chambers, co-authours of the Handbook on Community-Led Total Sanitation even suggest witHouseholdolding certification of ODF status for a six-month period to ensure that sanitation coverage has been sustained.                                                                                                                                                                                                                                                                                                                                     USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and it's contribution to ODF status in order to attribute results to this indicator. ",,,not available,,,,,"Useful for program management, funding allocations, tracking, and reporting.",,,,,,,,HL.8.2,,,
Output,HL.8.2-2,Number of people gaining access to a basic sanitation service as a result of USG assistance,USAID (U.S. Agency for International Development),,Health,,"A basic sanitation service, defined according to the Joint Monitoring Programme (JMP), is a sanitation facility that hygienically separates human excreta from human contact, and that is not shared with other households. Sanitation facilities meeting this criteria include:     - flush or pour/flush facility connected to a piped sewer system;     - a septic system or a pit latrine with slab;    - composting toilets;     - or ventilated improved pit latrines (with slab).  All other sanitation facilities do not meet this definition and are considered âunimproved.â Unimproved sanitation includes: flush or pour/flush toilets without a sewer connection; pit latrines without slab/open pit; bucket latrines; or hanging toilets/latrines. Households that use a facility shared with other households are not counted as using a basic sanitation facility. A household is defined as a person or group of persons that usually live and eat together. Persons are counted as âgaining accessâ to an improved sanitation facility, either newly established or rehabilitated from a non-functional or unimproved state, as a result of USG assistance if their household did not have similar âaccessâ, i.e., an improved sanitation facility was not available for household use, prior to completion of an improved sanitation facility associated with USG assistance.  This assistance may come in the form of hygiene promotion to generate demand. It may also come as programs to facilitate access to supplies and services needed to install improved facilities or improvements in the supply chain(s).   Limitations:  It is important to note that providing âaccessâ does not necessarily guarantee beneficiary âuseâ of a basic sanitation facility and thus potential health benefits are not certain to be realized from simply providing âaccess.â Not all household members may regularly use the noted basic sanitation facility. In particular, in many cultures young children are often left to defecate in the open and create health risks for all household members including themselves. The measurement of this indicator does not capture such detrimental, uneven sanitation behavior within a household. Additional limitations of this indicator are that it does not fully measure the quality of services, i.e. accessibility, quantity, and affordability, or the issue of facilities for adequate menstrual hygiene management.","Use of an improved sanitation facility by households is strongly linked to decreases in the incidence of waterborne disease among household members, especially among those under age five. Diarrhea remains the second leading cause of child deaths worldwide.",Number,,"Sex, Residence (Rural, Urban), Wealth Quintile",,,,,"Data must be collected by USAID staff, implementing partners, or a third party evaluator. USAID staff, implementing partners, or a third party evaluator must reasonably demonstrate the linkage between USG assistance and new services provided in order to attribute results to this indicator. Acceptable method(s) by which data for this indicator can be collected are: Direct count of beneficiary households and estimates of the number of people living in those households by the USAID partners implementing activities in the zone of influence or a third party evaluator and summarized on a quarterly or annual basis. This method would be most appropriate when the technical approach being pursued involves some direct household engagement by the USAID implementing partner, e.g., when a household is provided a subsidy for the construction of an improved sanitation facility. Household Surveys of a representative and statistically significant sample of those who gained access to verify that the sanitation facility meets the standards in the definition for a basic facility.  This data source requires that a baseline must be established before the start of activity implementation through an initial household Survey conducted by USAID, the implementing partner, or a third party evaluator using a representative and statistically significant sample of households in the zone of influence. This indicator can be difficult and time consuming to measure accurately and requires robust data quality assurance on the part of USAID.",,,Annual ,,,,,"Useful for program management, funding allocations and tracking, and reporting towards USAIDâs Water and Development Strategy objectives.",,,,,,,,HL.8.2,,,
